id,text
1265574122387537921,@CoolDew4 Friends? That'ssss one way to ssssay it
1265574122362454017,@Rampager3 can follow @topplepop for updates.
1265574122391769089,RT @UnhappyLian: Love this calm and dawn color. https://t.co/Z9nE4hnZOl
1265574122396008449,RT @finowlly: Creation of the sea snake https://t.co/UVO0s6qbkt
1265574122379231237,"RT @tenth_top_: You're not ugly..
You're just broke. ... https://t.co/Ss4K2n6ALQ"
1265574122383388678,RT @etsolra: emms stop being horny youre 14
1265574122396045314,@Peachmaker2 Still promoting but SM didn’t add Show Champion in their sched.
1265574122375045133,okay so K is born in feb after 14th i guess and BR is born in Nov maybe 11th? (sorry for the repeated question ab…… https://t.co/PArexmCcMH
1265574122396045316,"RT @qtpiebyunbaek: 200527 BAEKHYUN TWITTER 

Fan: Baekhyun-ah, I'm curious... Are there really sweets inside???

Baekhyun: I remember it ha…"
1265574122370801667,"@beominprds THANK YOU!!!!! 💖💖💖
#GOT7 #갓세븐 @GOT7Official https://t.co/XmBJCrLql5"
1265574126552522753,so... i’m lost
1265574126565105670,"RT @RohanSarvakar07: #ASI_साकेत_पर_चुप_क्यों

To know more about Buddhism
Read Buddha and his dhmma
Which written by Dr.B.R.Ambedkar"
1265574126577745921,"RT @cillaohene: Police kills them , video circulated , hashtag trends , more shootings occur , another hashtag , they may or may not get ar…"
1265574126552580096,"RT @Angelblondiee: 🌸SATURDAY THREAD🌸

🌙DROP YOUR BEST PICS/VIDS HERE 

🌙RETWEET AND LIKE FOR EXPOSURE 

🌙BUYERS LOOK HERE 

🌸SUBSCRIBE MY O…"
1265574126560989184,RT @SexyCelebs88__: Ashley Sky 🔥 https://t.co/2vUmUkfbjq
1265574126581923841,"@joonf4iry BTS don't need any free promo when ARMY is enough big promo.
Promo y'all faves needs"
1265574126590341121,@jeonhanaaaa_ Bikin price list kaak
1265574126577758210,@cgb88 Something that doesn’t make your soul feel black?? Kevin Zadai?
1265574126590312449,@SasuDanquah1 @ManhyiaPalace @sometymer1 @Fentuo_ @BENGHARZI @KwakuAhenkorah3 @EdmundAckah @Nanakwamedankw1… https://t.co/zTWO9P5FaH
1265574126565163009,@dadykitto Lol make ur small body no deceive you.
1265574126577750017,"When your friend drops homemade treats at your door...
Thank you meltyson, they have brightened our week beyond mea… https://t.co/BvdTixFhzd"
1265574126556794885,@OneLameShark I wan these guys more than I want my cats back https://t.co/fR0khcVESK
1265574130767855618,Only posted her to let y’all know Idgaf what my bm talking bout I done leveled up for sure 🤞🏽❤️  🌹
